hour_ended,P Cl mg/l,P water flux mm/day,Q Cl mg/l,Q water flux mm/day,ET0 mm/day,S mm
1984-01-03,9.0,2.25,8.5,14.403469273743017,0.1978396819752642,26.910457409018555
1984-01-04,9.0,4.5,8.5,8.139293296089383,0.0,17.73581163700517
1984-01-05,10.5,29.750000000000004,9.3,19.27003072625698,0.13825880787292158,31.459167171406826
1984-01-06,10.5,8.5,9.3,10.38984636871508,0.05119429326439698,21.410886920709515
1984-01-07,10.5,7.25,9.3,10.357567039106145,0.12994281695864146,21.46601161773879
1984-01-08,10.5,2.25,9.3,6.986237430167598,0.0,15.153760474699418
1984-01-09,10.5,14.25,9.3,5.98359217877095,0.0,12.014462465353901
1984-01-10,10.5,29.971938515,9.3,14.312916201117318,0.10756719732080676,26.139893881553554
1984-01-11,10.5,19.924739585,9.4,23.141614525139666,0.16916663819131114,32.95317430670798
1984-01-12,10.5,10.691323675,9.4,22.234022346368718,0.07888238742487681,32.789783368764425
1984-01-13,10.5,5.831631099999999,9.4,26.46482681564246,0.1812460608767285,37.259991310564665
1984-01-14,10.5,9.719385155,9.4,12.262349162011173,0.08033112540778552,24.0164372241038
1984-01-15,0.0,0.0,9.4,7.669081005586591,0.03404088701100756,16.749458820912952
1984-01-16,10.5,11.75,9.4,13.840567039106148,0.0087382390192164,26.96909639091113
1984-01-17,0.0,0.0,9.4,8.785030726256982,0.0,19.00052375151717
1984-01-18,3.773886116837132,0.24999999999999994,8.6,6.2455223463687135,0.0,13.302223395469193
1984-01-19,4.948209515581066,0.24999999999999994,8.6,4.788653631284916,0.0,8.708253172874572
1984-01-20,0.0,0.0,8.6,3.9525083798882674,0.024962670104381128,5.165434826660352
1984-01-21,2.0805070221997264,17.5,8.6,3.4162793296089387,0.03145870904588853,2.414119705226899
1984-01-22,1.0429779221729394,0.4999999999999999,8.6,3.1925363128491617,0.0606387728582237,1.115090617574381
1984-01-23,3.119338631444227,1.5,8.6,4.254310055865921,0.0,6.916656466136513
1984-01-24,2.2624951322429934,4.25,8.6,3.2239357541899443,0.0,1.4156464660391015
1984-01-25,33.0487336385952,0.4999999999999999,8.6,2.8471424581005578,0.0,-1.1611409660987548
1984-01-26,17.0,0.24999999999999994,10.0,2.935759776536312,0.0007214519987873399,-0.7054062217834449
1984-01-27,5.2,5.0,10.0,4.625446927374301,0.0,7.840516954058934
1984-01-28,5.2,14.0,10.0,4.676631284916201,0.05325091630208578,7.735436933184353
1984-01-29,5.2,9.75,10.0,10.082086592178769,0.06876346363584973,20.83000085909309
1984-01-30,5.2,7.974481004999999,10.0,10.020896648044694,0.11628829594194524,20.73041072951985
1984-01-31,5.2,10.12519128,10.0,10.046941340782123,0.16336247750558802,20.802724321005357
1984-02-01,7.0,39.24657193,10.4,23.22319273743017,0.13299735240479518,33.849460493194016
1984-02-02,7.0,14.395990055,10.4,16.342114525139667,0.23889152473199,28.50578117014103
1984-02-03,7.0,7.47995528,10.4,15.663192737430169,0.2913218101373192,27.59295857053752
1984-02-04,7.0,39.51603512000001,10.4,23.582790502793287,0.16713934995868668,33.14968756224643
1984-02-05,7.0,27.523918705,10.4,19.649790502793298,0.17307678344577526,30.788048651776823
1984-02-06,7.0,32.90261631,10.4,24.20167877094973,0.3623581743634201,33.86917148786416
1984-02-07,7.0,8.335700510000002,10.3,14.957924581005587,0.3589710092739826,27.267005093675838
1984-02-08,31.0,11.09707808,8.0,10.176385474860336,0.4184770424506107,21.1714154583746
1984-02-09,31.0,0.133844945,8.0,6.997902234636871,0.6278473403953778,15.232503892959135
1984-02-10,31.0,0.6540037699999999,8.0,5.454829608938546,0.2988362760972304,10.954365059948778
1984-02-11,0.0,0.0,8.0,4.426692737430168,0.3077425507321204,7.256002525389191
1984-02-12,0.0,0.0,8.0,3.7860083798882687,0.12374435442444108,4.361728621755591
1984-02-13,0.0,0.0,8.0,3.3018184357541913,0.6023921738949266,1.7840826536243863
1984-02-14,0.0,0.0,8.0,2.916703910614525,0.43035674635403326,-0.6379131427758207
1984-02-15,0.0,0.0,7.5,2.58795251396648,0.5240688552526837,-2.9494854947918414
1984-02-16,0.0,0.0,7.5,2.2577681564245813,0.15624401635422366,-5.748082538790804
1984-02-17,6.025519192259793,0.8539538899999999,7.5,2.031963687150838,0.14268783404158614,-7.9444662909766945
1984-02-18,0.0,0.0,7.5,1.7722709497206706,0.4189320162341991,-10.83415743069044
1984-02-19,0.0,0.0,7.5,1.5526005586592178,0.24032043529453545,-13.786238779663824
1984-02-20,0.0,0.0,7.5,1.4760754189944132,0.12490292236253628,-15.054203907380991
1984-02-21,3.5,21.756403855,7.9,3.887798882681565,0.17819546170664458,5.540154166620924
1984-02-22,3.5,6.729365069999999,7.9,6.278731843575418,0.2670865229212235,13.669569046585703
