hour_ended,P Cl mg/l,P water flux mm/day,Q Cl mg/l,Q water flux mm/day,ET0 mm/day,S mm,P Mg mg/l,Q Mg mg/l
12/28/1983,9,5.736521415,8.5,11.85395531,0.135008486,23.40277703,0.57,0.73
12/29/1983,9,0.12006417,8.5,8.05497486,0.14798235,17.53314,0.57,0.73
12/30/1983,9,0.36798463,8.5,5.794541899,0.058675109,12.07430506,0.57,0.73
12/31/1983,9,8.54475003,8.5,4.825206704,0.13393534,8.669685924,0.57,0.73
1/1/1984,9,51.62869267,8.5,26.27665642,0.097588257,36.68930274,0.57,0.73
1/2/1984,9,30.94563791,8.5,26.56862849,0.105179401,35.28531982,0.57,0.73
1/3/1984,9,2.25,8.5,14.40346927,0.197839682,26.91045741,0.57,0.73
1/4/1984,9,4.5,8.5,8.139293296,0,17.73581164,0.57,0.73
1/5/1984,10.5,29.75,9.3,19.27003073,0.138258808,31.45916717,0.69,0.77
1/6/1984,10.5,8.5,9.3,10.38984637,0.051194293,21.41088692,0.69,0.77
1/7/1984,10.5,7.25,9.3,10.35756704,0.129942817,21.46601162,0.69,0.77
1/8/1984,10.5,2.25,9.3,6.98623743,0,15.15376047,0.69,0.77
1/9/1984,10.5,14.25,9.3,5.983592179,0,12.01446247,0.69,0.77
1/10/1984,10.5,29.97193852,9.3,14.3129162,0.107567197,26.13989388,0.69,0.77
1/11/1984,10.5,19.92473959,9.4,23.14161453,0.169166638,32.95317431,0.7,0.8
1/12/1984,10.5,10.69132368,9.4,22.23402235,0.078882387,32.78978337,0.7,0.8
1/13/1984,10.5,5.8316311,9.4,26.46482682,0.181246061,37.25999131,0.7,0.8
1/14/1984,10.5,9.719385155,9.4,12.26234916,0.080331125,24.01643722,0.7,0.8
1/15/1984,0,0,9.4,7.669081006,0.034040887,16.74945882,0,0.8
1/16/1984,10.5,11.75,9.4,13.84056704,0.008738239,26.96909639,0.7,0.8
1/17/1984,0,0,9.4,8.785030726,0,19.00052375,0,0.8
1/18/1984,3.773886117,0.25,8.6,6.245522346,0,13.3022234,1.14,0.89
1/19/1984,4.948209516,0.25,8.6,4.788653631,0,8.708253173,1.14,0.89
